category_name,subCategory_name,item_type
Sanitaryware & Bath Fitting,Faucet & Drain,Angle Valve
Sanitaryware & Bath Fitting,Faucet & Drain,Bath Faucet
Sanitaryware & Bath Fitting,Faucet & Drain,Bottle Trap
Sanitaryware & Bath Fitting,Faucet & Drain,Handshower
Sanitaryware & Bath Fitting,Faucet & Drain,Health Faucet
Sanitaryware & Bath Fitting,Faucet & Drain,Sensor Tap
Sanitaryware & Bath Fitting,Faucet & Drain,Shower Faucet
Sanitaryware & Bath Fitting,Faucet & Drain,Stop Cock
Sanitaryware & Bath Fitting,Faucet & Drain,Wash Basin Faucet
Sanitaryware & Bath Fitting,Faucet & Drain,Floor Drain
Sanitaryware & Bath Fitting,Faucet & Drain,Flush Valve
Sanitaryware & Bath Fitting,Faucet & Drain,Touchless Faucet
Sanitaryware & Bath Fitting,Toilet/ Water Closet,Toilet Seat
Sanitaryware & Bath Fitting,Toilet/ Water Closet,Flushing Cistern
Sanitaryware & Bath Fitting,Toilet/ Water Closet,Wall Hung WC
Sanitaryware & Bath Fitting,Toilet/ Water Closet,One Piece WC
Sanitaryware & Bath Fitting,Toilet/ Water Closet,Two Piece WC
Sanitaryware & Bath Fitting,Toilet/ Water Closet,Toilet Tank
Sanitaryware & Bath Fitting,Wash Basin/ Sink,Counter Top Basin
Sanitaryware & Bath Fitting,Wash Basin/ Sink,Wall Mount Basin
Sanitaryware & Bath Fitting,Wash Basin/ Sink,Pedestal Basin
Sanitaryware & Bath Fitting,Wash Basin/ Sink,Under Counter Basin
Sanitaryware & Bath Fitting,Wash Basin/ Sink,Corner Basin
Sanitaryware & Bath Fitting,Wash Basin/ Sink,Hand Wash Station
Sanitaryware & Bath Fitting,Storage & Organiser,Hook
Sanitaryware & Bath Fitting,Storage & Organiser,Cabinet & Vanity Unit
Sanitaryware & Bath Fitting,Storage & Organiser,Shelve
Sanitaryware & Bath Fitting,Storage & Organiser,Towel Rack
Sanitaryware & Bath Fitting,Storage & Organiser,Towel Rail
Sanitaryware & Bath Fitting,Storage & Organiser,Towel Ring
Sanitaryware & Bath Fitting,Storage & Organiser,Heated Towel Rail
Sanitaryware & Bath Fitting,Storage & Organiser,Soap Dish
Sanitaryware & Bath Fitting,Storage & Organiser,Soap Dispenser
Sanitaryware & Bath Fitting,Storage & Organiser,Toothbrush Holder
Sanitaryware & Bath Fitting,Storage & Organiser,Toilet Paper Holder
Sanitaryware & Bath Fitting,Storage & Organiser,Waste Basket
Sanitaryware & Bath Fitting,Mirror,Mirror Demister
Sanitaryware & Bath Fitting,Mirror,Round Mirror
Sanitaryware & Bath Fitting,Mirror,Rectangular Mirror
Sanitaryware & Bath Fitting,Mirror,Square Mirror
Sanitaryware & Bath Fitting,Mirror,Storage Mirror
Sanitaryware & Bath Fitting,Mirror,Decorative Mirror
Sanitaryware & Bath Fitting,Shower,Shower Arm
Sanitaryware & Bath Fitting,Shower,Shower Tube
Sanitaryware & Bath Fitting,Shower,Shower System
Sanitaryware & Bath Fitting,Shower,Fixed Shower Head
